Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,209,-1_help_health_amp_appreciate,"[('help', 0.01632591692064978), ('health', 0.01587960173503131), ('amp', 0.011768120756045424), ('appreciate', 0.0112210956017995), ('would', 0.010216583763582438), ('us', 0.007642054936001249), ('trump', 0.00730897860685256), ('emergency', 0.007245237840821305), ('safe', 0.007169063763623797), ('covid', 0.0069095128320252105)]",neutral,"['help', 'health', 'amp', 'appreciate', 'would', 'us', 'trump', 'emergency', 'safe', 'covid ']"
1,0,247,0_health_mental_mental health_appreciate,"[('health', 0.02590617132499226), ('mental', 0.025397179845052312), ('mental health', 0.025214480766681927), ('appreciate', 0.023056276601943506), ('help', 0.01497385159230785), ('im', 0.012059394914112476), ('dont', 0.008991119936063172), ('people', 0.008255932542433234), ('get', 0.008145492010582477), ('time', 0.007571565153467624)]",neutral,"['health', 'mental', 'mental health', 'appreciate', 'help', 'im', 'dont', 'people', 'get', 'time ']"
2,1,72,1_healthcare_housing_health_help,"[('healthcare', 0.01957011301855953), ('housing', 0.015036378787603957), ('health', 0.013469208448095097), ('help', 0.012787361320530084), ('like', 0.011172159668846817), ('benefits', 0.01112798059992666), ('education', 0.01112798059992666), ('people', 0.010903803028193883), ('water', 0.010096152685833758), ('telus', 0.010096152685833758)]",neutral,"['healthcare', 'housing', 'health', 'help', 'like', 'benefits', 'education', 'people', 'water', 'telus ']"
3,2,69,2_health_covid_protect_nursing,"[('health', 0.01586176521190146), ('covid', 0.013973917277243968), ('protect', 0.01280778709964522), ('nursing', 0.012347841929953784), ('help', 0.012047040401973077), ('homes', 0.0118185433434113), ('nursing homes', 0.010568487314410775), ('safety', 0.010561298091549168), ('pandemic', 0.01048497771108939), ('care', 0.0101018868858826)]",neutral,"['health', 'covid', 'protect', 'nursing', 'help', 'homes', 'nursing homes', 'safety', 'pandemic', 'care ']"
4,3,30,3_covid19_covid_pandemic_discussing,"[('covid19', 0.062091067465370305), ('covid', 0.027509093038718898), ('pandemic', 0.026270054045366826), ('discussing', 0.02540778037866058), ('health', 0.023550557384215114), ('article essay', 0.02326011990999412), ('corona mexican', 0.02326011990999412), ('covid19 infection mexico', 0.02326011990999412), ('essay', 0.02326011990999412), ('pandemic corona', 0.02326011990999412)]",neutral,"['covid', 'covid', 'pandemic', 'discussing', 'health', 'article essay', 'corona mexican', 'covid infection mexico', 'essay', 'pandemic corona ']"
5,4,28,4_amp_help_covid19_persons,"[('amp', 0.038945535197439006), ('help', 0.023363957143220516), ('covid19', 0.02287565643461011), ('persons', 0.016116195468288137), ('would', 0.015456394666253677), ('helpful', 0.01427987895057942), ('bring', 0.01389057550031541), ('anxiety', 0.013503482690969475), ('health', 0.012817588050021384), ('pandemic', 0.012709063892229564)]",neutral,"['amp', 'help', 'covid', 'persons', 'would', 'helpful', 'bring', 'anxiety', 'health', 'pandemic ']"
6,5,24,5_mask_masks_wearing_social,"[('mask', 0.06329866072665027), ('masks', 0.051327078592377444), ('wearing', 0.03003566110841471), ('social', 0.02551362446969565), ('wear', 0.024396312006662733), ('wearing mask', 0.019122138520418407), ('hands', 0.019122138520418407), ('distance', 0.019122138520418407), ('distancing', 0.01797597377332879), ('social distancing', 0.01797597377332879)]",neutral,"['mask', 'masks', 'wearing', 'social', 'wear', 'wearing mask', 'hands', 'distance', 'distancing', 'social distancing ']"
7,6,22,6_vaccine_vaccines_believe_immunity,"[('vaccine', 0.07931534901929722), ('vaccines', 0.025854638529509585), ('believe', 0.023182680871835445), ('immunity', 0.019203682821145134), ('lollipop', 0.019203682821145134), ('vaccinated', 0.018052630377905884), ('people', 0.017926803600888223), ('medical', 0.01725707100649536), ('get', 0.016283265004808086), ('flu', 0.015015535547845934)]",neutral,"['vaccine', 'vaccines', 'believe', 'immunity', 'lollipop', 'vaccinated', 'people', 'medical', 'get', 'flu ']"
8,7,21,7_emergency_please_help_head,"[('emergency', 0.04640799049144685), ('please', 0.03489925468508945), ('help', 0.032219650576537966), ('head', 0.031036230378437904), ('doctor', 0.02854521465023568), ('nurse', 0.02784479429486811), ('alberta', 0.02641210335224947), ('alberta health', 0.02641210335224947), ('see', 0.02575534287440867), ('hospital', 0.024088037311038233)]",neutral,"['emergency', 'please', 'help', 'head', 'doctor', 'nurse', 'alberta', 'alberta health', 'see', 'hospital ']"
9,8,17,8_nursing_nurse_told_know,"[('nursing', 0.07344281634859469), ('nurse', 0.041282934150217505), ('told', 0.023946485542217708), ('know', 0.023367009403246052), ('best', 0.02186902707636514), ('actually', 0.02101000450027212), ('medicine nursing', 0.020412423686781863), ('rn', 0.018933458344995133), ('medicine', 0.017959864156663282), ('im', 0.01755644828938597)]",neutral,"['nursing', 'nurse', 'told', 'know', 'best', 'actually', 'medicine nursing', 'rn', 'medicine', 'im ']"
10,9,16,9_canada_nurses_workers_building,"[('canada', 0.04453498583225899), ('nurses', 0.03342878047083007), ('workers', 0.025071585353122545), ('building', 0.02446458100757798), ('healthcare', 0.023958330837572143), ('care', 0.02117372001004198), ('hospitals', 0.020120188993288306), ('nursing', 0.019770421067622633), ('hiring', 0.019288791533269102), ('doctors', 0.01910714259289132)]",neutral,"['canada', 'nurses', 'workers', 'building', 'healthcare', 'care', 'hospitals', 'nursing', 'hiring', 'doctors ']"
11,10,16,10_want work_tx_hiring_nursingjobs,"[('want work', 0.1552627300927161), ('tx', 0.1503211171276631), ('hiring', 0.14884703293014018), ('nursingjobs', 0.14849821940679325), ('details', 0.1432843642050929), ('tx details nursingjobs', 0.13974019663011428), ('tx details', 0.13974019663011428), ('details nursingjobs', 0.13974019663011428), ('nursingjobs want', 0.13974019663011428), ('nursingjobs want work', 0.13974019663011428)]",neutral,"['want work', 'tx', 'hiring', 'nursingjobs', 'details', 'tx details nursingjobs', 'tx details', 'details nursingjobs', 'nursingjobs want', 'nursingjobs want work ']"
12,11,15,11_amp_nurses_ai_needs increase,"[('amp', 0.06452254534151737), ('nurses', 0.049312068429346004), ('ai', 0.03508294328965964), ('needs increase', 0.02487990951137312), ('administrative', 0.0240590907146347), ('er', 0.023388628859773095), ('increase', 0.022821926828909142), ('training', 0.021511421427028436), ('using', 0.017871198025486618), ('needs', 0.01725074379681627)]",neutral,"['amp', 'nurses', 'ai', 'needs increase', 'administrative', 'er', 'increase', 'training', 'using', 'needs ']"
